
STARTING: getCost() (unittest1)
Testing of int getCost(int card):
Test: 0 PASS:  Card Entered: 24, Returned Cost: 4, Expected Cost: 4
Test: 1 PASS:  Card Entered: 35, Returned Cost: -1, Expected Cost: -1
Test: 2 PASS:  Card Entered: 20, Returned Cost: 3, Expected Cost: 3
Test: 3 PASS:  Card Entered: 14, Returned Cost: 3, Expected Cost: 3
Test: 4 PASS:  Card Entered: 3, Returned Cost: 8, Expected Cost: 8
Test: 5 PASS:  Card Entered: 12, Returned Cost: 4, Expected Cost: 4
Test: 6 PASS:  Card Entered: 18, Returned Cost: 3, Expected Cost: 3
Test: 7 PASS:  Card Entered: 35, Returned Cost: -1, Expected Cost: -1
Test: 8 PASS:  Card Entered: 39, Returned Cost: -1, Expected Cost: -1
Test: 9 PASS:  Card Entered: 24, Returned Cost: 4, Expected Cost: 4
Test: 10 PASS:  Card Entered: -1, Returned Cost: -1, Expected Cost: -1
Test: 11 PASS:  Card Entered: 16, Returned Cost: 3, Expected Cost: 3
Test: 12 PASS:  Card Entered: 37, Returned Cost: -1, Expected Cost: -1
Test: 13 PASS:  Card Entered: 23, Returned Cost: 5, Expected Cost: 5
Test: 14 PASS:  Card Entered: 10, Returned Cost: 4, Expected Cost: 4
Test: 15 PASS:  Card Entered: 40, Returned Cost: -1, Expected Cost: -1
Test: 16 PASS:  Card Entered: 13, Returned Cost: 4, Expected Cost: 4
Test: 17 PASS:  Card Entered: 16, Returned Cost: 3, Expected Cost: 3
Test: 18 PASS:  Card Entered: 9, Returned Cost: 4, Expected Cost: 4
Test: 19 PASS:  Card Entered: 4, Returned Cost: 0, Expected Cost: 0
Test: 20 PASS:  Card Entered: 38, Returned Cost: -1, Expected Cost: -1
Test: 21 PASS:  Card Entered: 36, Returned Cost: -1, Expected Cost: -1
Test: 22 PASS:  Card Entered: 23, Returned Cost: 5, Expected Cost: 5
Test: 23 PASS:  Card Entered: 28, Returned Cost: -1, Expected Cost: -1
Test: 24 PASS:  Card Entered: 16, Returned Cost: 3, Expected Cost: 3
Test: 25 PASS:  Card Entered: 27, Returned Cost: -1, Expected Cost: -1
Test: 26 PASS:  Card Entered: 11, Returned Cost: 5, Expected Cost: 5
Test: 27 PASS:  Card Entered: 31, Returned Cost: -1, Expected Cost: -1
Test: 28 PASS:  Card Entered: 26, Returned Cost: 4, Expected Cost: 4
Test: 29 PASS:  Card Entered: 28, Returned Cost: -1, Expected Cost: -1
Test: 30 PASS:  Card Entered: 10, Returned Cost: 4, Expected Cost: 4
Test: 31 PASS:  Card Entered: 10, Returned Cost: 4, Expected Cost: 4
Test: 32 PASS:  Card Entered: 22, Returned Cost: 2, Expected Cost: 2
Test: 33 PASS:  Card Entered: 33, Returned Cost: -1, Expected Cost: -1
Test: 34 PASS:  Card Entered: 26, Returned Cost: 4, Expected Cost: 4
Test: 35 PASS:  Card Entered: 27, Returned Cost: -1, Expected Cost: -1
Test: 36 PASS:  Card Entered: 5, Returned Cost: 3, Expected Cost: 3
Test: 37 PASS:  Card Entered: 4, Returned Cost: 0, Expected Cost: 0
Test: 38 PASS:  Card Entered: 22, Returned Cost: 2, Expected Cost: 2
Test: 39 PASS:  Card Entered: 3, Returned Cost: 8, Expected Cost: 8
Test: 40 PASS:  Card Entered: 30, Returned Cost: -1, Expected Cost: -1
Test: 41 PASS:  Card Entered: 24, Returned Cost: 4, Expected Cost: 4
Test: 42 PASS:  Card Entered: 22, Returned Cost: 2, Expected Cost: 2
Test: 43 PASS:  Card Entered: 27, Returned Cost: -1, Expected Cost: -1
Test: 44 PASS:  Card Entered: 6, Returned Cost: 6, Expected Cost: 6
Test: 45 PASS:  Card Entered: 34, Returned Cost: -1, Expected Cost: -1
Test: 46 PASS:  Card Entered: 26, Returned Cost: 4, Expected Cost: 4
Test: 47 PASS:  Card Entered: 22, Returned Cost: 2, Expected Cost: 2
Test: 48 PASS:  Card Entered: 10, Returned Cost: 4, Expected Cost: 4
Test: 49 PASS:  Card Entered: 37, Returned Cost: -1, Expected Cost: -1
Test: 50 PASS:  Card Entered: 28, Returned Cost: -1, Expected Cost: -1
Test: 51 PASS:  Card Entered: 8, Returned Cost: 5, Expected Cost: 5
Test: 52 PASS:  Card Entered: 32, Returned Cost: -1, Expected Cost: -1
Test: 53 PASS:  Card Entered: 11, Returned Cost: 5, Expected Cost: 5
Test: 54 PASS:  Card Entered: 38, Returned Cost: -1, Expected Cost: -1
Test: 55 PASS:  Card Entered: 8, Returned Cost: 5, Expected Cost: 5
Test: 56 PASS:  Card Entered: -2, Returned Cost: -1, Expected Cost: -1
Test: 57 PASS:  Card Entered: 8, Returned Cost: 5, Expected Cost: 5
Test: 58 PASS:  Card Entered: -2, Returned Cost: -1, Expected Cost: -1
Test: 59 PASS:  Card Entered: 26, Returned Cost: 4, Expected Cost: 4
Test: 60 PASS:  Card Entered: 39, Returned Cost: -1, Expected Cost: -1
Test: 61 PASS:  Card Entered: 11, Returned Cost: 5, Expected Cost: 5
Test: 62 PASS:  Card Entered: 38, Returned Cost: -1, Expected Cost: -1
Test: 63 PASS:  Card Entered: 21, Returned Cost: 4, Expected Cost: 4
Test: 64 PASS:  Card Entered: 3, Returned Cost: 8, Expected Cost: 8
Test: 65 PASS:  Card Entered: 24, Returned Cost: 4, Expected Cost: 4
Test: 66 PASS:  Card Entered: 8, Returned Cost: 5, Expected Cost: 5
Test: 67 PASS:  Card Entered: 10, Returned Cost: 4, Expected Cost: 4
Test: 68 PASS:  Card Entered: 31, Returned Cost: -1, Expected Cost: -1
Test: 69 PASS:  Card Entered: 32, Returned Cost: -1, Expected Cost: -1
Test: 70 PASS:  Card Entered: 15, Returned Cost: 4, Expected Cost: 4
Test: 71 PASS:  Card Entered: 21, Returned Cost: 4, Expected Cost: 4
Test: 72 PASS:  Card Entered: 15, Returned Cost: 4, Expected Cost: 4
Test: 73 PASS:  Card Entered: 40, Returned Cost: -1, Expected Cost: -1
Test: 74 PASS:  Card Entered: 7, Returned Cost: 6, Expected Cost: 6
Test: 75 PASS:  Card Entered: 24, Returned Cost: 4, Expected Cost: 4
Test: 76 PASS:  Card Entered: 33, Returned Cost: -1, Expected Cost: -1
Test: 77 PASS:  Card Entered: 35, Returned Cost: -1, Expected Cost: -1
Test: 78 PASS:  Card Entered: 5, Returned Cost: 3, Expected Cost: 3
Test: 79 PASS:  Card Entered: 3, Returned Cost: 8, Expected Cost: 8
Test: 80 PASS:  Card Entered: 32, Returned Cost: -1, Expected Cost: -1
Test: 81 PASS:  Card Entered: 36, Returned Cost: -1, Expected Cost: -1
Test: 82 PASS:  Card Entered: 13, Returned Cost: 4, Expected Cost: 4
Test: 83 PASS:  Card Entered: 24, Returned Cost: 4, Expected Cost: 4
Test: 84 PASS:  Card Entered: 7, Returned Cost: 6, Expected Cost: 6
Test: 85 PASS:  Card Entered: 10, Returned Cost: 4, Expected Cost: 4
Test: 86 PASS:  Card Entered: 34, Returned Cost: -1, Expected Cost: -1
Test: 87 PASS:  Card Entered: 7, Returned Cost: 6, Expected Cost: 6
Test: 88 PASS:  Card Entered: 21, Returned Cost: 4, Expected Cost: 4
Test: 89 PASS:  Card Entered: 34, Returned Cost: -1, Expected Cost: -1
Test: 90 PASS:  Card Entered: 35, Returned Cost: -1, Expected Cost: -1
Test: 91 PASS:  Card Entered: 20, Returned Cost: 3, Expected Cost: 3
Test: 92 PASS:  Card Entered: 4, Returned Cost: 0, Expected Cost: 0
Test: 93 PASS:  Card Entered: 33, Returned Cost: -1, Expected Cost: -1
Test: 94 PASS:  Card Entered: 0, Returned Cost: 0, Expected Cost: 0
Test: 95 PASS:  Card Entered: 9, Returned Cost: 4, Expected Cost: 4
Test: 96 PASS:  Card Entered: 16, Returned Cost: 3, Expected Cost: 3
Test: 97 PASS:  Card Entered: 10, Returned Cost: 4, Expected Cost: 4
Test: 98 PASS:  Card Entered: 22, Returned Cost: 2, Expected Cost: 2
Test: 99 PASS:  Card Entered: 7, Returned Cost: 6, Expected Cost: 6
Test: 100 PASS:  Card Entered: 1, Returned Cost: 2, Expected Cost: 2
Test: 101 PASS:  Card Entered: 40, Returned Cost: -1, Expected Cost: -1
Test: 102 PASS:  Card Entered: 30, Returned Cost: -1, Expected Cost: -1
Test: 103 PASS:  Card Entered: 19, Returned Cost: 5, Expected Cost: 5
Test: 104 PASS:  Card Entered: 39, Returned Cost: -1, Expected Cost: -1
Test: 105 PASS:  Card Entered: 39, Returned Cost: -1, Expected Cost: -1
Test: 106 PASS:  Card Entered: 2, Returned Cost: 5, Expected Cost: 5
Test: 107 PASS:  Card Entered: 32, Returned Cost: -1, Expected Cost: -1
Test: 108 PASS:  Card Entered: 34, Returned Cost: -1, Expected Cost: -1
Test: 109 PASS:  Card Entered: 10, Returned Cost: 4, Expected Cost: 4
Test: 110 PASS:  Card Entered: 37, Returned Cost: -1, Expected Cost: -1
Test: 111 PASS:  Card Entered: 26, Returned Cost: 4, Expected Cost: 4
Test: 112 PASS:  Card Entered: 5, Returned Cost: 3, Expected Cost: 3
Test: 113 PASS:  Card Entered: 10, Returned Cost: 4, Expected Cost: 4
Test: 114 PASS:  Card Entered: 9, Returned Cost: 4, Expected Cost: 4
Test: 115 PASS:  Card Entered: 14, Returned Cost: 3, Expected Cost: 3
Test: 116 PASS:  Card Entered: 23, Returned Cost: 5, Expected Cost: 5
Test: 117 PASS:  Card Entered: 2, Returned Cost: 5, Expected Cost: 5
Test: 118 PASS:  Card Entered: 23, Returned Cost: 5, Expected Cost: 5
Test: 119 PASS:  Card Entered: 3, Returned Cost: 8, Expected Cost: 8
Test: 120 PASS:  Card Entered: 39, Returned Cost: -1, Expected Cost: -1
Test: 121 PASS:  Card Entered: 18, Returned Cost: 3, Expected Cost: 3
Test: 122 PASS:  Card Entered: 25, Returned Cost: 4, Expected Cost: 4
Test: 123 PASS:  Card Entered: 2, Returned Cost: 5, Expected Cost: 5
Test: 124 PASS:  Card Entered: 10, Returned Cost: 4, Expected Cost: 4
Test: 125 PASS:  Card Entered: 27, Returned Cost: -1, Expected Cost: -1
Test: 126 PASS:  Card Entered: 14, Returned Cost: 3, Expected Cost: 3
Test: 127 PASS:  Card Entered: 29, Returned Cost: -1, Expected Cost: -1
Test: 128 PASS:  Card Entered: 40, Returned Cost: -1, Expected Cost: -1
Test: 129 PASS:  Card Entered: 39, Returned Cost: -1, Expected Cost: -1
Test: 130 PASS:  Card Entered: 38, Returned Cost: -1, Expected Cost: -1
Test: 131 PASS:  Card Entered: 0, Returned Cost: 0, Expected Cost: 0
Test: 132 PASS:  Card Entered: 38, Returned Cost: -1, Expected Cost: -1
Test: 133 PASS:  Card Entered: 27, Returned Cost: -1, Expected Cost: -1
Test: 134 PASS:  Card Entered: 22, Returned Cost: 2, Expected Cost: 2
Test: 135 PASS:  Card Entered: 36, Returned Cost: -1, Expected Cost: -1
Test: 136 PASS:  Card Entered: 26, Returned Cost: 4, Expected Cost: 4
